Start Time, Fri Nov 08 2024 12:57:52 GMT-0600 (Central Standard Time)
Energy calibration,  Offset: 0.5227000117, Slope: 0.4595000148, Quadratic: 0
Live Time (s), 457.88
Real Time (s), 476.83
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
1, 0.9822000265, 0
2, 1.4417000413, 0
3, 1.9012000561, 0
4, 2.3607000709, 0
5, 2.8202000857000002, 0
6, 3.2797001005, 2
7, 3.7392001153, 0
8, 4.198700130100001, 0
9, 4.6582001449, 0
10, 5.1177001597, 0
11, 5.5772001745, 0
12, 6.036700189299999, 0
13, 6.496200204100001, 1
14, 6.955700218900001, 1
15, 7.4152002337, 1
16, 7.8747002485, 0
17, 8.3342002633, 1
18, 8.7937002781, 3
19, 9.2532002929, 1
20, 9.7127003077, 0
21, 10.1722003225, 0
22, 10.6317003373, 0
23, 11.0912003521, 0
24, 11.5507003669, 0
25, 12.0102003817, 0
26, 12.4697003965, 2
27, 12.9292004113, 1
28, 13.3887004261, 0
29, 13.8482004409, 1
30, 14.307700455700001, 1
31, 14.7672004705, 2
32, 15.2267004853, 3
33, 15.6862005001, 3
34, 16.1457005149, 4
35, 16.6052005297, 4
36, 17.0647005445, 2
37, 17.5242005593, 4
38, 17.983700574100002, 6
39, 18.4432005889, 11
40, 18.9027006037, 2
41, 19.3622006185, 5
42, 19.8217006333, 4
43, 20.2812006481, 5
44, 20.7407006629, 3
45, 21.2002006777, 3
46, 21.6597006925, 7
47, 22.1192007073, 8
48, 22.5787007221, 3
49, 23.038200736900002, 7
50, 23.497700751700002, 6
51, 23.9572007665, 2
52, 24.4167007813, 7
53, 24.8762007961, 3
54, 25.3357008109, 4
55, 25.7952008257, 6
56, 26.2547008405, 4
57, 26.7142008553, 3
58, 27.1737008701, 6
59, 27.633200884900003, 0
60, 28.092700899700002, 0
61, 28.552200914500002, 3
62, 29.0117009293, 3
63, 29.4712009441, 5
64, 29.9307009589, 2
65, 30.3902009737, 2
66, 30.8497009885, 3
67, 31.3092010033, 0
68, 31.7687010181, 1
69, 32.2282010329, 2
70, 32.6877010477, 2
71, 33.1472010625, 1
72, 33.6067010773, 2
73, 34.0662010921, 3
74, 34.5257011069, 3
75, 34.98520112170001, 2
76, 35.44470113650001, 1
77, 35.90420115130001, 1
78, 36.36370116610001, 3
79, 36.82320118090001, 1
80, 37.28270119570001, 2
81, 37.742201210500006, 0
82, 38.201701225300006, 0
83, 38.661201240100006, 2
84, 39.120701254900005, 3
85, 39.580201269700005, 0
86, 40.039701284500005, 1
87, 40.499201299300005, 0
88, 40.958701314100004, 0
89, 41.418201328900004, 0
90, 41.877701343700004, 2
91, 42.3372013585, 5
92, 42.7967013733, 5
93, 43.2562013881, 6
94, 43.7157014029, 1
95, 44.1752014177, 4
96, 44.6347014325, 2
97, 45.09420144730001, 6
98, 45.55370146210001, 8
99, 46.01320147690001, 3
100, 46.47270149170001, 5
101, 46.93220150650001, 1
102, 47.39170152130001, 2
103, 47.85120153610001, 3
104, 48.310701550900006, 2
105, 48.770201565700006, 3
106, 49.229701580500006, 1
107, 49.689201595300005, 3
108, 50.148701610100005, 3
109, 50.608201624900005, 0
110, 51.067701639700005, 0
111, 51.527201654500004, 1
112, 51.986701669300004, 0
113, 52.446201684100004, 0
114, 52.9057016989, 0
115, 53.3652017137, 1
116, 53.8247017285, 0
117, 54.2842017433, 0
118, 54.74370175810001, 0
119, 55.20320177290001, 1
120, 55.66270178770001, 0
121, 56.12220180250001, 1
122, 56.58170181730001, 0
123, 57.04120183210001, 0
124, 57.50070184690001, 1
125, 57.96020186170001, 0
126, 58.41970187650001, 0
127, 58.879201891300006, 0
128, 59.338701906100006, 0
129, 59.798201920900006, 0
130, 60.257701935700005, 0
131, 60.717201950500005, 0
132, 61.176701965300005, 1
133, 61.636201980100005, 1
134, 62.095701994900004, 0
135, 62.555202009700004, 0
136, 63.014702024500004, 1
137, 63.4742020393, 0
138, 63.9337020541, 0
139, 64.39320206890001, 0
140, 64.8527020837, 0
141, 65.3122020985, 0
142, 65.7717021133, 3
143, 66.2312021281, 0
144, 66.6907021429, 0
145, 67.1502021577, 1
146, 67.6097021725, 0
147, 68.0692021873, 1
148, 68.52870220209999, 0
149, 68.98820221689999, 0
